Country,Place,Start date,End date,Level,Confirmed
Argentina,,2020-03-19,2020-03-31,National,
Australia,,2020-03-23,,National,
Austria,,2020-03-16,2020-04-13,National,
Belgium,,2020-03-18,2020-04-05,National,
Brazil,Santa Catarina,2020-03-17,2020-03-31,State,
Brazil,São Paulo,2020-03-24,2020-04-07,,
Chile,,2020-03-19,,National,
Colombia,,2020-03-25,2020-04-13,National,
Czech Republic,,2020-03-16,2020-04-01,National,
Denmark,,2020-03-11,2020-04-13,National,
El Salvador,,2020-03-12,2020-04-01,National,
Fiji,Lautoka,2020-03-20,,City,
France,,2020-03-17,2020-04-01,National,
Germany,Bavaria,2020-03-20,2020-04-03,State,
Germany,"Freiburg, BW",2020-03-21,2020-04-03,City,
Greece,,2020-03-23,2020-04-06,National,
Honduras,,2020-03-17,2020-03-29,National,
India,,2020-03-25,2020-04-15,National,
Ireland,,2020-03-12,2020-03-29,National,
Italy,,2020-03-09,2020-04-03,National,
Lebanon,,2020-03-15,2020-03-29,National,
Lithuania,,2020-03-16,2020-04-13,National,
Malaysia,,2020-03-18,2020-04-14,National,
Morocco,,2020-03-19,,National,
Nepal,,2020-03-24,2020-03-30,National,
New Zealand,,2020-03-26,,National,
Norway,,2020-03-12,2020-04-13,National,
Pakistan,Punjab,2020-03-24,2020-04-06,Province,
Pakistan,Sindh,2020-03-24,2020-04-07,Province,
Pakistan,Gilgit-Baltistan,2020-03-22,,Administrative,
Pakistan,Azad Kashmir,2020-03-24,2020-04-07,Administrative,
Panama,,2020-03-25,,National,
Philippines,Davao Region,2020-03-19,,Region,
Philippines,Luzon,2020-03-15,2020-04-14,Island group,
Philippines,Soccsksargen,2020-03-23,,Region,
Poland,,2020-03-13,,National,
Portugal,,2020-03-19,2020-04-02,National,
Romania,,2020-03-25,,National,
South Africa,,2020-03-26,2020-04-16,National,
Spain,,2020-03-14,2020-04-11,National,
Tunisia,,2020-03-22,,National,
United Kingdom,,2020-03-23,2020-04-13,National,
United States,California,2020-03-19,2020-03-29,State,
United States,"Clark County, NV",2020-03-20,2020-04-20,County,
United States,Connecticut,2020-03-23,2020-03-29,State,
United States,Illinois,2020-03-21,2020-04-07,State,
United States,"Kansas City, KS",2020-03-24,2020-04-23,City,
United States,Massachusetts,2020-03-24,2020-04-07,State,
United States,Michigan,2020-03-24,2020-04-14,State,
United States,New York,2020-03-20,2020-03-29,State,
United States,Oregon,2020-03-24,,State,
United States,Wisconsin,2020-03-24,2020-04-24,State,
Venezuela,,2020-03-17,,National,
China,Wuhan,2020-01-23,2020-04-08,Sub-provincial,Confirmed
China,Xiaogan,2020-01-24,2020-03-25,Prefectural,Confirmed
China,Huanggang,2020-01-23,2020-03-25,Prefectural,Confirmed
China,Jingzhou,2020-01-24,2020-03-17,Prefectural,Confirmed
China,Ezhou,2020-01-23,2020-03-25,Prefectural,Confirmed
China,Suizhou,2020-01-24,2020-03-25,Prefectural,Confirmed
China,Xiangyang,2020-01-28,2020-03-25,Prefectural,Confirmed
China,Huangshi,2020-01-24,2020-03-13,Prefectural,Confirmed
China,Yichang,2020-01-24,2020-03-25,Prefectural,Confirmed
China,Jingmen,2020-01-24,2020-03-25,Prefectural,Confirmed
China,Xianning,2020-01-24,2020-03-25,Prefectural,Confirmed
China,Shiyan,2020-01-24,2020-03-25,Prefectural,Confirmed
China,Xiantao,2020-01-24,2020-03-25,Sub-prefectural,Confirmed
China,Tianmen,2020-01-24,2020-03-25,Sub-prefectural,Confirmed
China,Enshi,2020-01-24,2020-03-25,Prefectural,Confirmed
China,Qianjiang,2020-01-24,2020-03-13,Sub-prefectural,Confirmed
China,Shennongjia,2020-01-27,2020-03-25,Sub-prefectural,Confirmed
